日志时间：2012-07-31 15:00:15,496  
[系统:system;描述:方法拦截;代码:700]执行用时：135毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,ce3dfae9d34b4861a31e482d68ccdf95,b29f45352f374730944bd7c5498fca44,529154,836036143@qq.com; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":2,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:00:16,746  
[系统:system;描述:方法拦截;代码:700]执行用时：75毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:09:36,312  
[系统:system;描述:方法拦截;代码:700]执行用时：5毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:09:36,760  
[系统:system;描述:方法拦截;代码:700]执行用时：77毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:09:50,473  
[系统:system;描述:方法拦截;代码:700]执行用时：6毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:09:51,316  
[系统:system;描述:方法拦截;代码:700]执行用时：68毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:10:55,996  
[系统:system;描述:方法拦截;代码:700]执行用时：28毫秒;请求信息：Invocation: method 'GetRegionList', arguments WebSite,token,guid,user_id,uid,2; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"id":54,"pid":2,"name":"天津市","type":"地区","zip":"120000","code":null,"child_total":0}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:11:03,393  
[系统:system;描述:方法拦截;代码:700]执行用时：24毫秒;请求信息：Invocation: method 'GetRegionList', arguments WebSite,token,guid,user_id,uid,54; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"id":55,"pid":54,"name":"和平区","type":"区县","zip":"120101","code":null,"child_total":0},{"id":56,"pid":54,"name":"河东区","type":"区县","zip":"120102","code":null,"child_total":0},{"id":57,"pid":54,"name":"河西区","type":"区县","zip":"120103","code":null,"child_total":0},{"id":58,"pid":54,"name":"南开区","type":"区县","zip":"120104","code":null,"child_total":0},{"id":59,"pid":54,"name":"河北区","type":"区县","zip":"120105","code":null,"child_total":0},{"id":60,"pid":54,"name":"红桥区","type":"区县","zip":"120106","code":null,"child_total":0},{"id":61,"pid":54,"name":"塘沽区","type":"区县","zip":"120107","code":null,"child_total":0},{"id":62,"pid":54,"name":"汉沽区","type":"区县","zip":"120108","code":null,"child_total":0},{"id":63,"pid":54,"name":"大港区","type":"区县","zip":"120109","code":null,"child_total":0},{"id":64,"pid":54,"name":"东丽区","type":"区县","zip":"120110","code":null,"child_total":0},{"id":65,"pid":54,"name":"西青区","type":"区县","zip":"120111","code":null,"child_total":0},{"id":66,"pid":54,"name":"津南区","type":"区县","zip":"120112","code":null,"child_total":0},{"id":67,"pid":54,"name":"北辰区","type":"区县","zip":"120113","code":null,"child_total":0},{"id":69,"pid":54,"name":"宁河县","type":"区县","zip":"120221","code":null,"child_total":0},{"id":70,"pid":54,"name":"武清区","type":"区县","zip":"120114","code":null,"child_total":0},{"id":71,"pid":54,"name":"静海县","type":"区县","zip":"120223","code":null,"child_total":0},{"id":72,"pid":54,"name":"宝坻区","type":"区县","zip":"120115","code":null,"child_total":0},{"id":73,"pid":54,"name":"蓟县","type":"区县","zip":"120225","code":null,"child_total":0}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:12:17,440  
[系统:system;描述:方法拦截;代码:700]执行用时：18毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:12:18,000  
[系统:system;描述:方法拦截;代码:700]执行用时：80毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:13:15,828  
[系统:system;描述:方法拦截;代码:700]执行用时：5毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:13:16,270  
[系统:system;描述:方法拦截;代码:700]执行用时：75毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:13:26,707  
[系统:system;描述:方法拦截;代码:700]执行用时：6毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:13:27,238  
[系统:system;描述:方法拦截;代码:700]执行用时：73毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:13:50,906  
[系统:system;描述:方法拦截;代码:700]执行用时：5毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:13:51,295  
[系统:system;描述:方法拦截;代码:700]执行用时：102毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:15:04,755  
[系统:system;描述:方法拦截;代码:700]执行用时：5毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:15:05,216  
[系统:system;描述:方法拦截;代码:700]执行用时：60毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:15:35,960  
[系统:system;描述:方法拦截;代码:700]执行用时：4毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:15:36,368  
[系统:system;描述:方法拦截;代码:700]执行用时：79毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:16:07,164  
[系统:system;描述:方法拦截;代码:700]执行用时：5毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:16:07,595  
[系统:system;描述:方法拦截;代码:700]执行用时：80毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:16:24,433  
[系统:system;描述:方法拦截;代码:700]执行用时：75毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:16:24,445  
[系统:system;描述:方法拦截;代码:700]执行用时：4毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:16:35,796  
[系统:system;描述:方法拦截;代码:700]执行用时：7毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:16:36,277  
[系统:system;描述:方法拦截;代码:700]执行用时：79毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:23:08,878  
[系统:system;描述:方法拦截;代码:700]执行用时：4毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:23:09,547  
[系统:system;描述:方法拦截;代码:700]执行用时：260毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:25:26,084  
[系统:system;描述:方法拦截;代码:700]执行用时：6毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:25:26,683  
[系统:system;描述:方法拦截;代码:700]执行用时：82毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:26:15,663  
[系统:system;描述:方法拦截;代码:700]执行用时：5毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:26:16,010  
[系统:system;描述:方法拦截;代码:700]执行用时：78毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:27:44,743  
[系统:system;描述:方法拦截;代码:700]执行用时：8毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:27:45,140  
[系统:system;描述:方法拦截;代码:700]执行用时：102毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:28:28,316  
[系统:system;描述:方法拦截;代码:700]执行用时：5毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:28:28,828  
[系统:system;描述:方法拦截;代码:700]执行用时：82毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:28:55,320  
[系统:system;描述:方法拦截;代码:700]执行用时：4毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:28:55,886  
[系统:system;描述:方法拦截;代码:700]执行用时：75毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:37:00,749  
[系统:system;描述:方法拦截;代码:700]执行用时：5毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:37:01,332  
[系统:system;描述:方法拦截;代码:700]执行用时：104毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:37:56,330  
[系统:system;描述:方法拦截;代码:700]执行用时：5毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:37:56,810  
[系统:system;描述:方法拦截;代码:700]执行用时：61毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:38:22,354  
[系统:system;描述:方法拦截;代码:700]执行用时：5毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:38:22,721  
[系统:system;描述:方法拦截;代码:700]执行用时：80毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:41:48,007  
[系统:system;描述:方法拦截;代码:700]执行用时：4毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:41:48,622  
[系统:system;描述:方法拦截;代码:700]执行用时：66毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:43:02,622  
[系统:system;描述:方法拦截;代码:700]执行用时：309毫秒;请求信息：Invocation: method 'GetRegionList', arguments WebSite,token,guid,user_id,uid,54; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"id":55,"pid":54,"name":"和平区","type":"区县","zip":"120101","code":null,"child_total":0},{"id":56,"pid":54,"name":"河东区","type":"区县","zip":"120102","code":null,"child_total":0},{"id":57,"pid":54,"name":"河西区","type":"区县","zip":"120103","code":null,"child_total":0},{"id":58,"pid":54,"name":"南开区","type":"区县","zip":"120104","code":null,"child_total":0},{"id":59,"pid":54,"name":"河北区","type":"区县","zip":"120105","code":null,"child_total":0},{"id":60,"pid":54,"name":"红桥区","type":"区县","zip":"120106","code":null,"child_total":0},{"id":61,"pid":54,"name":"塘沽区","type":"区县","zip":"120107","code":null,"child_total":0},{"id":62,"pid":54,"name":"汉沽区","type":"区县","zip":"120108","code":null,"child_total":0},{"id":63,"pid":54,"name":"大港区","type":"区县","zip":"120109","code":null,"child_total":0},{"id":64,"pid":54,"name":"东丽区","type":"区县","zip":"120110","code":null,"child_total":0},{"id":65,"pid":54,"name":"西青区","type":"区县","zip":"120111","code":null,"child_total":0},{"id":66,"pid":54,"name":"津南区","type":"区县","zip":"120112","code":null,"child_total":0},{"id":67,"pid":54,"name":"北辰区","type":"区县","zip":"120113","code":null,"child_total":0},{"id":69,"pid":54,"name":"宁河县","type":"区县","zip":"120221","code":null,"child_total":0},{"id":70,"pid":54,"name":"武清区","type":"区县","zip":"120114","code":null,"child_total":0},{"id":71,"pid":54,"name":"静海县","type":"区县","zip":"120223","code":null,"child_total":0},{"id":72,"pid":54,"name":"宝坻区","type":"区县","zip":"120115","code":null,"child_total":0},{"id":73,"pid":54,"name":"蓟县","type":"区县","zip":"120225","code":null,"child_total":0}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:43:41,776  
[系统:system;描述:方法拦截;代码:700]执行用时：78毫秒;请求信息：Invocation: method 'GetAddressList', arguments WebSite,token,guid,user_id,uid; target is of Type [MobileWcf.ServiceLibrary.Member.MemberService];返回信息：{"list":[],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:44:08,438  
[系统:system;描述:方法拦截;代码:700]执行用时：8毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:44:08,997  
[系统:system;描述:方法拦截;代码:700]执行用时：128毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:44:48,051  
[系统:system;描述:方法拦截;代码:700]执行用时：5毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:44:48,462  
[系统:system;描述:方法拦截;代码:700]执行用时：78毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:47:09,978  
[系统:system;描述:方法拦截;代码:700]执行用时：30毫秒;请求信息：Invocation: method 'GetAddressList', arguments WebSite,token,guid,user_id,573347; target is of Type [MobileWcf.ServiceLibrary.Member.MemberService];返回信息：{"list":[],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:47:20,756  
[系统:system;描述:方法拦截;代码:700]执行用时：29毫秒;请求信息：Invocation: method 'GetAddressList', arguments WebSite,token,guid,573347,zhangbin5171291@163.com; target is of Type [MobileWcf.ServiceLibrary.Member.MemberService];返回信息：{"list":[],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:48:18,441  
[系统:system;描述:方法拦截;代码:700]执行用时：7毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:48:19,223  
[系统:system;描述:方法拦截;代码:700]执行用时：527毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:49:07,742  
[系统:system;描述:方法拦截;代码:700]执行用时：4毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:49:08,085  
[系统:system;描述:方法拦截;代码:700]执行用时：63毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:51:25,717  
